Year,Entity,Sector,Oil Consumption - KTOE
1974,Egypt,Overall,754.6036113499571
1975,Egypt,Overall,834.1600171969046
1976,Egypt,Overall,986.5737747205503
1977,Egypt,Overall,1054.4802665520206
1978,Egypt,Overall,1089.4071367153913
1979,Egypt,Overall,1194.6644024075667
1980,Egypt,Overall,1335.2756663800517
1981,Egypt,Overall,1540.4865004299227
1982,Egypt,Overall,1751.9292347377473
1983,Egypt,Overall,1922.390799656062
1984,Egypt,Overall,2078.6151332760105
1985,Egypt,Overall,2112.5367153912293
1986,Egypt,Overall,2118.740584694755
1987,Egypt,Overall,2239.481513327601
1988,Egypt,Overall,2227.8237317282887
1989,Egypt,Overall,2309.652192605331
1990,Egypt,Overall,2367.9310404127255
1991,Egypt,Overall,2326.9950128976784
1992,Egypt,Overall,2234.0664660361135
1993,Egypt,Overall,2091.0648323301807
1994,Egypt,Overall,2183.4717970765264
1995,Egypt,Overall,2367.814015477214
1996,Egypt,Overall,2502.9785038693035
1997,Egypt,Overall,2642.530524505589
1998,Egypt,Overall,2780.8406706792775
1999,Egypt,Overall,2844.8893379191745
2000,Egypt,Overall,2783.8294926913154
2001,Egypt,Overall,2628.842132416165
2002,Egypt,Overall,2615.3774720550305
2003,Egypt,Overall,2681.66852966466
2004,Egypt,Overall,2823.710404127257
2005,Egypt,Overall,2989.716595012898
2006,Egypt,Overall,2900.5219260533104
2007,Egypt,Overall,3132.3050730868445
2008,Egypt,Overall,3315.7112639724846
2009,Egypt,Overall,3470.8572656921756
2010,Egypt,Overall,3573.4668959587275
2011,Egypt,Overall,3566.010318142734
2012,Egypt,Overall,3641.750644883921
2013,Egypt,Overall,3681.8749785038694
2014,Egypt,Overall,3862.453482373173
2015,Egypt,Overall,3956.5704213241615
2016,Egypt,Overall,4088.564574376612
2017,Egypt,Overall,3880.98796216681
2018,Egypt,Overall,3458.7970765262253
2019,Egypt,Overall,3269.1098882201204
2020,Egypt,Overall,2814.336027515047
2021,Egypt,Overall,3055.5282889079963
1985,Estonia,Overall,347.7736457437661
1986,Estonia,Overall,344.0325021496131
1987,Estonia,Overall,347.4616852966466
1988,Estonia,Overall,350.45834049871024
1989,Estonia,Overall,361.428950988822
1990,Estonia,Overall,355.4876354256234
1991,Estonia,Overall,313.1617368873603
1992,Estonia,Overall,168.30645743766124
1993,Estonia,Overall,178.40436801375753
1994,Estonia,Overall,162.63937231298365
1995,Estonia,Overall,127.80858125537404
1996,Estonia,Overall,138.32603611349955
1997,Estonia,Overall,135.82580395528805
1998,Estonia,Overall,136.37572656921753
1999,Estonia,Overall,127.38431642304384
2000,Estonia,Overall,114.60928632846088
2001,Estonia,Overall,132.56183147033533
2002,Estonia,Overall,148.43334479793637
2003,Estonia,Overall,139.32398968185726
2004,Estonia,Overall,141.39270851246775
