"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"East Asia & Pacific","EAS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556840","565940","579200","574310","596400","644930","670930","642000","655870","684730","693230","701360","717540","690720","737660","723250","756660","758750","756360","781210","783060","847600","864180","836240","864230","878030","870530","901190","897230","891070","","",
"Europe & Central Asia (excluding high income)","ECA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255380","240620","216340","200810","179640","169460","160760","157150","149290","144650","145060","147000","153270","150910","149230","150540","154110","154730","160760","160760","160980","167380","167980","172830","175620","176190","182690","186730","185370","189900","","",
"Europe & Central Asia","ECS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","646510","616170","576560","553820","537090","523670","524480","515320","485680","461230","457580","457220","456890","453670","454820","449210","442150","446460","438710","421720","415260","413860","413790","418750","424120","426140","430420","435510","428670","435040","","",
"Ecuador","ECU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3680","3820","3960","4090","4210","4280","4550","4910","4720","4370","4100","5340","4840","4770","4980","4770","4870","4600","4980","5220","5490","5570","5430","5400","5330","4850","4940","5020","5140","5160","","",
"Egypt, Arab Rep.","EGY","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12480","13330","13500","14480","13820","15730","16410","16340","17190","17600","18650","18920","19630","20050","21240","21060","21580","21920","22990","23720","24150","24190","23260","22750","22320","22370","22900","22830","22590","23320","","",
"Euro area","EMU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248150","244260","237870","234300","238570","237420","244690","240000","221990","213100","208250","207630","206470","204870","204580","198560","189950","193320","182110","174390","165880","159170","159300","160520","162720","163000","160010","160360","155590","156460","","",
"Eritrea","ERI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1220","1280","1050","1080","1100","1270","1450","1530","1570","1630","1480","1450","1490","1500","1550","1480","1600","1590","1600","1550","1630","1630","1650","1660","1670","1690","1690","1710","1710","","",
"Spain","ESP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22210","21450","19880","20360","20980","20680","22750","22360","23690","23660","23760","23370","23010","24010","23290","21920","22280","22850","20580","20230","20700","19650","19000","19560","20360","20490","20280","20690","20420","20060","","",
"Estonia","EST","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","1820","1570","1430","1290","1230","1200","1190","1220","1200","1220","1200","1190","1230","1250","1230","1230","1280","1340","1280","1310","1320","1350","1370","1400","1420","1360","1400","1390","1400","","",
"Ethiopia","ETH","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23620","23630","24160","21640","21920","22120","23380","23890","26100","25940","24600","25450","29030","27810","28740","30140","31590","35170","36140","37780","39490","38930","41030","41760","43380","44490","46190","47230","47450","47720","","",
"European Union","EUU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333050","317350","306020","301960","305770","304000","312720","307630","285470","275010","272590","271960","267680","267490","269160","262870","252860","257110","244030","229990","222810","216680","215550","215990","217800","219520","217540","218370","213200","214790","","",
